OOOC Picks,Name,Date,Start time,End time,Location,Genre,Price,Ticket link,Age,Notes
🌟,IMERSIV Summer Party - Day 1,19 June,2:00 pm,10:00 pm,139 Rue du Temple,"Afrobeats, Shatta, Rap, R&B, Afro house",€4.99,IMERSIV SUMMER PARTY,,
🌟,IMERSIV Summer Party - Day 2,20 June,2:00 pm,10:00 pm,139 Rue du Temple,"Afrobeats, Shatta, Rap, R&B, Afro house",€4.99,IMERSIV SUMMER PARTY,,
🌟,Ovmbr Sounds: Paris Summers,20 June,10:00 pm,4:00 am,211,"Afrobeats, Amapiano, Hip Hop, R&B, Bashment",€19.06,"Ovmbr Sounds: Paris Summers Tickets | €19.06 | 20 Jun @ 211, Paris | DICE",21+,Waitlist
,AURA X LOVE & BOWL,20 June,10:00 pm,3:00 am,Beach Bowling,"Afro, Hip Hop, Rap, R&B, Dancehall",€42.28,"AURA X LOVE & BOWL: With LOVE from PARIS (Fête de la musique) Tickets | €42.28 | 20 Jun @ Beach Bowling, Paris | DICE-tickets?lng=en",21+,Near Orly Airport
,Francophone Party Paris,20 June,10:00 pm,3:00 am,Belushi's Paris (Canal),"Afro, Coupé-décalé, Zouk, Shatta",£28.99,LONDON TO PARIS 2025 🇫🇷 21+ EVENT FETE 🥳 UK DJ's VS FR DJ's,21+,Sold out
,Mob Madness,20 June,10:30 pm,,Level Paris Club,"Afro, Afrobeats, Coupé-décalé, Shatta, Dancehall",€25.50,"Mob Madness Tickets | From €16.69 | 20 Jun @ Level Club, Paris | DICE",21+,
,VibesOverseas Paris - Day 1,20 June,11:00 pm,5:00 am,Place,"Afro, Dancehall, Hip Hop",£32.50,Vibes Overseas Paris 2025 - Fete de la Musique Weekender,21+,Location TBC
🌟,SLOWJAMSwithA → Paris (night1),20 June,11:00 pm,4:00 am,Carré Montparnasse,"R&B, Hip Hop, Afrobeats, Amapiano",£36.42,SLOWJAMSwithA → Paris (Fête de la musique),21+,Waitlist
,La Shattarena,20 June,11:00 pm,5:30 am,La Bellevilloise,"Shatta, Dancehall, Afro, Reggaeton, Baile funk, Amapiano",€11,La Shattarena - Tropical Vibes Party !,,
🌟,Anderson.Paak & Friends,20 June,11:00 pm,6:00 am,Wanderlust,"Funk, Disco, Electro, R&B, Hip Hop",€24.99,"Dj Pee .Wee (Aka Anderson .Paak), Cezaire, Naomi",,
,Afrotherapy Ep37,20 June,11:45 pm,6:00 am,Level Paris Club,"Afro, Afrobeats, Hip Hop, Dancehall",€5.99,Afrotherapy Ep37,,Free entry before 1am
,Bussin,20 June,11:45 pm,5:30 am,Movida Club,"Afro, Afrobeats, Hip Hop, Dancehall, Shatta, Rap",€10,Bussin - Soiree Hip Hop & Afrobeat,,Free entry before 1am
,Be Real x No Fake Open Air Party,21 June,3:00 pm,1:00 am,Velvet Bar Paris,"Hip Hop, R&B, Dancehall, Afrobeats, UK Drill, UK Garage, Trap, Baile funk, Bouyon, Soca",TBA,"Fête De La Musique @Velvet Bar By Brnf Hip Hop Rnb Dancehall",,Tickets on sale soon (no date available, set reminder on Shotgun)
,N'Joy Street Party - NTB Soundsystem,21 June,4:00 pm,12:00 am,Place Joachim du Bellay,"Afro, Amapiano, Coupé-décalé, Hip Hop, R&B, Dancehall, Urban FR",Free,https://www.instagram.com/p/DKFiIoKou-3/?igsh=a3M0bjUyNWpicjh6,N/A,
🌟,Sixtion x Recess x Everyday People,21 June,4:00 pm,12:00 pm,211,"Afro, Amapiano, Coupé-décalé, Hip Hop, R&B, Dancehall, Urban FR, Afrobeats, Bashment, Zouk, Rap",Free,"https://recess.world/eurostep/ https://www.everydayppl.nyc/events/paris625 https://www.instagram.com/channel/AbbB_EOlfFZBHpsX/?igsh=NXExeGgyc25tMzJh",,Sign up to Recess & Everyday People using links and join Sixtion broadcast channel for more updates.
🌟,Ascension: Everyone Deserves to Groove,21 June,4:00 pm,2:00 am,18 Boulevard Richerand,"Baile funk, Amapiano, Reggaeton, Afrobeats, Bouyon, Shatta, Dancehall, R&B, Trap, Rap",Free,Fdlm - Ascension Paris - Everyone Deserves To Groove @Free,,No ticket needed but get one if you want
,Yaya Club x Afrowaan,21 June,4:00 pm,2:00 am,Le Patio Rooftop,"Dancehall, R&B, Shatta, Afrobeats, Amapiano, Afro",€15.99,Yaya Club X Afrowaan - Fete De La Musique,,,
🌟,Ovmbr Sounds: Street Party,21 June,4:00 pm,,Place,"Afrobeats, Amapiano, Hip Hop, R&B, Bashment",Free,https://laylo.com/iamodeal/cGWV8,N/A,Time & location TBC
🌟,Damside Block Party,21 June,4:00 pm,,36 Rue Notre Dame de Nazareth,"Afro, Amapiano, Coupé-décalé, Hip Hop, R&B, Dancehall, Urban FR",Free,https://www.instagram.com/p/DJj1EQHskow/?igsh=MTdmOXNodjQwNWVhdQ==,,Time TBC
,Trust No Friends Open Air Party,21 June,5:00 pm,12:00 am,Griffon,"House, Afro, R&B, Amapiano, Baile funk, Electro",Free,FÊTE DE LA MUSIQUE // OPEN AIR - GRIFFON - TRUST NO FRIENDS,,Free RSVP
,UK Bloc Party,21 June,6:00 pm,3:00 am,Café Divan,"Shatta, Afrobeats, Hip Hop, Afro house, Amapiano",Free,https://www.instagram.com/p/DKaU-Osgng7/?igsh=MTZrbGZyazk4dGNlZg==,,No ticket needed
,Mamacita,21 June,6:00 pm,5:30 am,Solum,"Baile funk, Reggaeton",€12.99,Mamacita • Fête De La Musique,,Free RSVP for day party, paid ticket for night party
,Savage Block Party,21 June,6:00 pm,6:00 am,Trabendo,"Afro, Afrobeats, Hip Hop, Baile funk, Shatta, Amapiano, Dancehall",€13.30,Savage Block Party,,Free RSVP for day party, paid ticket for night party
,Djoon Block Party,21 June,6:00 pm,6:00 am,Djoon Club,"House, Disco, Afro house, Afro, Afrobeats",Free,Block Party: Fête de la Musique 2025,,Free RSVP required
🌟,Collectif VKL,21 June,8:00 pm,2:00 am,Le TLM,"Afrobeats, Amapiano, Afro house, R&B, Afro",Free,Fête de la Musique - Collectif VKL - Afrobeat & Amapiano,,Free RSVP
🌟,SLOWJAMSwithA → Paris (night2),21 June,11:00 pm,4:00 am,Carré Montparnasse,"R&B, Hip Hop, Afrobeats, Amapiano",£33.33,SLOWJAMSwithA → Paris (Fête de la musique) (night2) Tickets | £33.33 | 21 Jun @ Carré Montparnasse, Paris | DICE,21+,On sale 8th June, 6pm
,N'Joy Afterparty,21 June,11:00 pm,5:50 am,Club Haussmann,"Afro, Hip Hop, Amapiano, Urban FR",€25,"N’JOY IN PARIS X 21 JUIN X FÊTE DE LA MUSIQUE AU CLUB HAUSSMANN",21+,
,Club Tropicalia,21 June,11:00 pm,5:00 am,Punk Paradise,"Reggaeton, Afro, Shatta, Baile funk, Dancehall, Afrobeats",€8.99,CLUB TROPICALIA 21/6 ~ AFRO, LATIN, CARIBBEAN, BRAZIL VIBES!,,
🌟,Sixtion After Party,21 June,11:59 pm,6:00 am,La Machine du Moulin Rouge,"Afrobeats, Amapiano, Afro",€20,Sixtion : Fête De La Musique Afterparty,,
,Start Game,21 June,11:59 pm,6:00 am,Bridge Club,"Hip Hop, Reggaeton, House, Dancehall, Afrobeats, Electro",€9.99,Start Game Party au Bridge Club Paris,,Free entry for women before 1am
🌟,Paris Motion Day Party,22 June,2:00 pm,11:00 pm,Belushi's Paris (Canal),"Afro, Coupé-décalé, Zouk, Shatta",£22.50,paris motion day party 🇫🇷 21+ event fete'd la music,21+,
,Random DJ All Star,22 June,3:00 pm,10:00 pm,DOCK B,"Afrobeats, Amapiano, Hip Hop, Shatta",€10,Random DJ présente: Edition Summer All Star,,
🌟,Parismatik Cruise,22 June,4:00 pm,1:00 am,41 Quai François Mauriac,"Afro, Afrobeats, Shatta, Dancehall, Trap, Kompa",Free,Parismatik Cruise,,Dress code: beige, brown, white or black
🌟,La Sunday Abidjan,22 June,6:00 pm,2:00 am,Wanderlust,"Afro, Coupé-décalé",€12,La Sunday Abidjan,,
,VibesOverseas Paris - Day 2,22 June,11:00 pm,5:00 am,Place,"Afro, Dancehall, Hip Hop",£32.50,Vibes Overseas Paris 2025 - Fete de la Musique Weekender,21+,Location TBC
,Bubalu,22 June,11:00 pm,6:00 am,Folies Pigalle,"Dancehall, Afro, Afrobeats, Hip Hop, Baile funk, Reggaeton",€14.99,Bubalu - Folies Pigalle,,Free entry before 1am
🌟,galacta✩jeeniius: paris party ✩,22 June,11:00 pm,5:00 am,La Planque,"Afrobeats, Hip Hop, Rap, Trap",€27.99,galacta✩jeeniius presents: paris party ✩,20+,Final release
